Field,Source,ra,dec,SCont,taupeak,sigma-tau,EW,e_EW,NH,e_NH,fH,lim,Ts,e_Ts
0026-7355,002906-735333,7.2771,-73.8925,90.83,1.1,0.1,7.4,0.6,1.3,0.3,1.09,,96.3,24
0038-7350,003809-735024,9.5387,-73.8401,109.35,0.8,0.04,5.1,0.3,2.7,0.2,1.04,,292.8,28.1
0038-7422,003824-742212,9.6018,-74.37,203.35,1.1,0.02,5.8,0.1,2.2,0.2,1.07,,206.6,20.3
0040-7300,004229-730406,10.6216,-73.0685,77.1,4,0.18,31.6,1.2,4.8,0.3,1.34,,83.2,6.6
0040-7300,003800-725210,9.504,-72.8697,41.37,2.4,0.24,3.9,1.4,1.6,0.2,1.06,>,215.9,
0040-7300,003754-725156,9.4775,-72.8657,101.36,0.4,0.09,6.7,0.6,1.6,0.2,1.01,,128.7,19.1
0041-7146,003947-713735,9.9486,-71.6265,49.75,0.4,0.08,0.8,0.5,0.4,0.1,1,>,146.6,
0041-7146,004047-714559,10.1999,-71.7665,354.93,0.04,0.01,0.4,0.1,0.5,0.1,1,,805.7,266.1
0041-7146,003939-714141,9.9155,-71.6949,55.6,0.3,0.07,-1.7,0.4,0.6,0.1,1,>,247.4,
0048-7412,004808-741205,12.035,-74.2017,50.95,0.6,0.1,10.8,0.6,1.9,0.2,1.04,,95.9,13.6
0053-7313,005238-731245,13.1592,-73.2126,63.71,6.7,0.09,25,0.4,9.1,0.6,1.3,,200.8,12.8
0054-7227,005218-722708,13.0784,-72.4524,231.96,0.6,0.06,6.4,0.4,3.2,0.4,1.06,,271.8,42
0054-7227,005519-721050,13.8291,-72.1808,28.63,3.6,0.31,12.8,1.8,2.4,0.4,1.08,,105.1,22.1
0054-7227,004718-723948,11.8288,-72.6636,57.28,7.3,1.28,-8.8,5.8,3.5,0.3,1,>,112.2,
0054-7227,004956-723554,12.4869,-72.5986,150.76,3.1,0.13,13.2,0.8,4.2,0.4,1.16,,173.4,18.2
0054-7227,005557-722606,13.9877,-72.4352,52.42,5.1,0.53,-1.8,2.7,6.2,0.6,1.04,>,414.9,
0054-7227,005555-722556,13.9792,-72.4324,63.62,3.2,0.15,14.9,0.9,6.3,0.6,1.16,,231.4,26.5
0054-7227,005337-723144,13.4074,-72.5291,90.76,2.4,0.16,14.5,1,4.9,0.4,1.13,,185,20.5
0056-7107,005652-712300,14.2195,-71.3835,44.87,0.7,0.1,8.9,0.6,1.5,0.1,1.07,,92.8,10.7
0056-7107,010029-713826,15.124,-71.6408,20.07,3.5,0.22,12.9,1.3,3.7,0.3,1.32,,158.8,20.1
0056-7107,005611-710707,14.0478,-71.1188,188.96,0.2,0.02,2.4,0.1,1,0.1,1.02,,236.4,34.8
0056-7107,005820-713040,14.5853,-71.5114,16.18,2.8,0.32,1.2,1.7,1.7,0.3,1.11,>,189.8,
0058-7413,005732-741243,14.3855,-74.212,339.9,0.7,0.01,1.5,0.1,0.7,0.1,1,,239.3,52.7
0058-7413,005636-740315,14.1538,-74.0543,19.05,1.3,0.18,4.5,1.1,1.3,0.2,1.03,,162,49.7
0101-7138,005820-713040,14.5859,-71.5111,19.82,3.7,0.23,-5.9,1.4,1.7,0.3,1.11,>,227.7,
0101-7138,010029-713826,15.1245,-71.6406,100.52,6.1,0.05,10.5,0.3,3.7,0.3,1.36,,194.5,15.8
0110-7135,010930-713456,17.3785,-71.5823,72.29,0.9,0.12,14.7,0.8,2,0.3,1.06,,74.1,12.3
0110-7135,010932-713452,17.3842,-71.5814,29.73,1.1,0.17,12.2,1,2,0.3,1.05,,88.5,14.5
0110-7227,011005-722647,17.5226,-72.4467,121.46,0.6,0.03,13.1,0.2,3.5,0.4,1.09,,144,16.5
0110-7227,011035-722807,17.6491,-72.4687,33.67,2.9,0.12,31.8,0.7,3.7,0.4,1.36,,64.6,6.9
0111-7314,011432-732143,18.6369,-73.3622,39.67,6.9,0.23,31.8,1.4,6,0.6,1.38,,104.2,10.6
